name,type,img,description,effect
Blessing in Disguise,trait,hand-of-god,"It is said that Humans have been watched over by a god who favors them above all other Ancestries. But perhaps this blessing represents the attentions of Abyssal fiends acting of their own accord, waiting to turn you into a thrall once your fate runs dry.","Whenever the time calls for you to suffer a debilitating Injury or face death, you may alternatively gain 1 permanent Chaos Rank (instead of spending a Fate Point) to ignore it entirely."
Danger Sense,trait,awareness,"A rare few Humans tend to get a “funny feeling” whenever a situation may turn dangerous. This danger sense also leads to odd dreams, and sometimes plagues them with unusual visions during their waking hours.","Whenever you are Surprised, spend one Fortune Point to avoid it and take your Turn as normal."
Dauntless,trait,deadly-strike,"Humans’ sheer force of will helps them withstand many challenges. Rarely do they cross the threshold to fear and darkness, as their stalwart nature shields them from the horrors that surround them.",You are immune to the effects of the Intimidate Skill and cannot be Stunned or Knocked Out!
Esoteric Memory,trait,brain-stem,"Some Humans have a preternatural ability for remembering details and subconsciously committing things to memory. They may even develop odd rituals to help jog their memories. A scholar would say these Humans have an eidetic memory, recalling every detail with great clarity.","When attempting to recall a particular detail or remember a fact, you always succeed at Scrutinize Tests."
Fortune's Wheel,trait,honeypot,"Some Humans are favored by Lady Luck. In a sense, they are her emissaries in an unkind and capricious world, either victims of its accidents or beneficiaries of its boons.","Anytime you generate a Critical Failure after rolling D100, automatically add one Fortune Point into the Fortune Pool."
Grim Resolve,trait,armor-upgrade,"Humans are extremely durable and their force of will unparalleled. When the chips are down, they manage to pull themselves up by the bootstraps.","Immediately after you suffer Damage from a melee or ranged weapon, spend a Fortune Point to ignore it entirely, therefore negating both Damage and any Injuries you may have suffered.You may even use this after failing to Dodge or Parry."
Manifest Destiny,trait,orb-direction,"Humans are a quick study and carry with them a wealth of experiences. Unlike other Ancestries, their people are extremely adaptable and can use a number of techniques with a minimal level of understanding.","When using a Skill you do not possess Skill Ranks in, add a +5 Base Chance."
Mixed Bloodline,trait,transfuse,One of your Human ancestors or parents coupled with another Ancestry and passed elements of this bloodline down to their children.,"Randomly generate another Ancestry other than your own. Whichever you end up with, consider possible alterations to your appearance and cultural values. Should you share Dwarven heritage, you may have a mercurial disposition. If sharing Elven heritage, you may fly into fey rages when things don’t go your way. If sharing Gnome heritage, you may like to break things apart in hopes of learning how they work. If sharing Halfling heritage, you may exhibit an insatiable appetite for larceny. Finally, if sharing Ogre heritage, you may possess a predilection towards eating every morsel you can get your grubby mitts on.
Randomly generate your Mixed Bloodline by rolling D100, consulting the Ancestral table on Step III: Sex & Ancestry. As a result, you may randomly determine another Ancestral Trait outside of the Human’s Mixed Bloodline. Once determined, go to the first page of the Character sheet and record your Mixed Bloodline under Background and record your new Ancestral Trait."
Mountain Amongst Men,trait,mountain-top,"Some Humans are incredibly tall, towering over their own kind. Being a hulking brute may have negative social consequences, as they are oftentimes perceived as being clumsy, dunderheaded or somewhat terrifying. Are these assertions correct? You decide.","You are able to wield any two-handed melee weapon with one hand. This also means you may freely take advantage of the Adaptable Quality for weapons using only one hand. Finally, you will reference “91 to 100” on the Height table and will have a Husky build on the Build table."
Natural Selection,trait,divided-spiral,"Favored above all others, Humans are the living instruments of the gods. A thankless few are granted an inkling of their might. To those born beneath the right stars, a great blessing is bestowed.",You may permanently change any one Primary Attribute to a 55%.
Noble Savage,trait,mountain-climbing,"Whether through purposeful training or accident, Humans have developed a natural resistance to the elements.",You never suffer physical Peril as a result of failed Toughness Tests.
